initial_stop_percent,stop_increment,traders,traders vencedores,ganho Médio,perda médio,retorno
1,10,45,12,214.25,-96.4375,-5.1499999999999995
1,20,45,10,223.9,-81.91176470588235,-5.46
1,30,45,12,187.66666666666666,-81.75,-3.64
1,40,45,12,187.66666666666666,-66.40625,1.27
1,50,45,14,171.21428571428572,-66.63333333333334,3.9800000000000004
1,60,45,14,172.28571428571428,-65.1,4.590000000000001
1,70,45,16,149.5,-66.89655172413794,4.52
1,80,45,16,141.9375,-65.6896551724138,3.66
1,90,45,16,121.3125,-66.96551724137932,-0.01
1,100,45,16,126.5,-60.62068965517241,2.6599999999999997
1,110,45,19,107.26315789473684,-63.84615384615385,3.7800000000000002
1,120,45,19,108.57894736842105,-63.84615384615385,4.03
1,130,45,19,104.3157894736842,-64.57692307692308,3.0300000000000002
1,140,45,20,91.9,-59.0,3.63
1,150,45,19,92.42105263157895,-58.0,2.48
1,160,45,20,84.75,-58.28,2.3800000000000003
1,170,45,20,83.85,-58.04,2.26
1,180,45,20,86.4,-55.64,3.37
1,190,45,21,81.04761904761905,-54.791666666666664,3.8699999999999997
2,10,42,12,212.08333333333334,-111.41379310344827,-6.859999999999999
2,20,44,12,214.25,-108.0,-7.7700000000000005
2,30,44,11,215.63636363636363,-101.21875,-8.67
2,40,44,10,223.9,-97.27272727272727,-9.71
2,50,44,11,204.1818181818182,-92.8125,-7.24
2,60,44,13,175.15384615384616,-96.23333333333333,-6.1
2,70,44,14,169.85714285714286,-96.79310344827586,-4.29
2,80,44,14,167.5,-88.10344827586206,-2.1
2,90,44,15,162.66666666666666,-70.65517241379311,3.91
2,100,44,17,132.88235294117646,-73.4074074074074,2.77
2,110,44,17,136.47058823529412,-73.4074074074074,3.38
2,120,44,15,126.26666666666667,-67.75862068965517,-0.7100000000000001
2,130,44,16,119.625,-67.07142857142857,0.36
2,140,44,18,112.66666666666667,-71.5,1.69
2,150,44,18,113.5,-71.5,1.8399999999999999
2,160,44,19,94.36842105263158,-69.08,0.66
2,170,44,19,95.47368421052632,-68.88,0.9199999999999999
2,180,44,20,88.85,-69.0,1.21
2,190,44,20,89.7,-69.375,1.29
