initial_stop_percent,stop_increment,traders,traders vencedores,ganho Médio,perda médio,retorno
1,10,177,67,77.26865671641791,-48.86363636363637,-1.9800000000000002
1,20,189,72,69.54166666666667,-41.085470085470085,2.0
1,30,192,71,57.91549295774648,-37.53719008264463,-4.3
1,40,196,77,49.97402597402598,-36.80672268907563,-5.319999999999999
1,50,198,77,47.285714285714285,-37.59504132231405,-9.08
1,60,199,77,46.116883116883116,-35.17213114754098,-7.3999999999999995
1,70,200,76,43.578947368421055,-34.45161290322581,-9.6
1,80,200,74,43.310810810810814,-32.95238095238095,-9.47
1,90,201,75,40.973333333333336,-32.03968253968254,-9.64
1,100,201,75,39.72,-30.515873015873016,-8.66
1,110,201,74,39.74324324324324,-29.19685039370079,-7.670000000000001
1,120,201,83,36.66265060240964,-29.177966101694917,-4.0
1,130,201,82,37.170731707317074,-28.26050420168067,-3.15
1,140,203,82,35.73170731707317,-27.570247933884296,-4.06
1,150,203,82,33.0,-27.371900826446282,-6.0600000000000005
1,160,203,82,32.073170731707314,-26.28099173553719,-5.5
1,170,203,82,31.20731707317073,-26.123966942148762,-6.02
1,180,203,80,30.8,-25.5609756097561,-6.800000000000001
1,190,203,80,30.75,-25.211382113821138,-6.41
2,10,150,70,73.6,-72.3,-6.32
2,20,158,69,72.01449275362319,-57.61797752808989,-1.59
2,30,166,70,73.61428571428571,-50.979166666666664,2.59
2,40,171,72,63.80555555555556,-48.2020202020202,-1.78
2,50,173,73,60.31506849315068,-44.54,-0.51
2,60,180,75,56.56,-43.67619047619048,-3.44
2,70,182,79,51.34177215189873,-45.42718446601942,-6.23
2,80,182,80,48.15,-43.509803921568626,-5.86
2,90,183,77,46.35064935064935,-40.31132075471698,-7.04
2,100,183,77,45.675324675324674,-37.528301886792455,-4.61
2,110,183,76,43.80263157894737,-35.81308411214953,-5.029999999999999
2,120,186,79,43.08860759493671,-36.03738317757009,-4.52
2,130,186,81,39.641975308641975,-36.19047619047619,-5.89
2,140,186,79,41.79746835443038,-34.71028037383178,-4.12
2,150,188,79,41.89873417721519,-34.54128440366973,-4.55
2,160,188,77,40.298701298701296,-32.91891891891892,-5.510000000000001
2,170,188,75,40.08,-32.256637168141594,-6.39
2,180,188,83,37.204819277108435,-34.371428571428574,-5.21
2,190,188,84,34.785714285714285,-34.31730769230769,-6.47
3,10,128,71,80.25352112676056,-83.45614035087719,9.41
3,20,140,73,79.35616438356165,-75.26865671641791,7.5
3,30,145,69,77.40579710144928,-59.61842105263158,8.1
3,40,152,70,77.0,-54.78048780487805,8.98
3,50,158,73,68.23287671232876,-53.35294117647059,4.46
3,60,159,69,64.44927536231884,-50.65555555555556,-1.1199999999999999
3,70,164,72,63.875,-48.130434782608695,1.71
3,80,167,74,63.2972972972973,-46.645161290322584,3.46
3,90,168,77,57.077922077922075,-47.79120879120879,0.45999999999999996
3,100,172,81,52.839506172839506,-47.08791208791209,-0.05
3,110,174,81,54.08641975308642,-44.956989247311824,2.0
3,120,177,81,51.7037037037037,-43.604166666666664,0.02
3,130,177,80,49.2375,-42.608247422680414,-1.94
3,140,177,79,48.36708860759494,-41.30612244897959,-2.27
3,150,177,74,47.986486486486484,-36.70873786407767,-2.3
3,160,178,79,44.9873417721519,-37.01010101010101,-1.0999999999999999
3,170,179,83,43.36144578313253,-38.09375,-0.58
3,180,179,83,44.13253012048193,-36.75,1.35
3,190,179,83,42.963855421686745,-37.333333333333336,-0.18
4,10,121,70,77.14285714285714,-96.6078431372549,4.73
4,20,130,72,77.66666666666667,-88.13793103448276,4.8
4,30,136,71,79.08450704225352,-76.49230769230769,6.43
4,40,143,72,75.94444444444444,-72.8169014084507,2.98
4,50,145,74,74.48648648648648,-62.04225352112676,11.07
4,60,147,73,70.10958904109589,-60.54054054054054,6.38
4,70,149,72,63.625,-57.16883116883117,1.79
4,80,152,70,60.48571428571429,-53.048780487804876,-1.16
4,90,155,74,55.62162162162162,-52.79012345679013,-1.6
4,100,157,69,59.869565217391305,-47.47727272727273,-0.47000000000000003
4,110,163,74,56.21621621621622,-48.12359550561798,-1.23
4,120,164,79,53.45569620253165,-51.11764705882353,-1.22
4,130,164,77,53.311688311688314,-49.98850574712644,-2.44
4,140,164,76,55.75,-46.11363636363637,1.79
4,150,168,79,52.40506329113924,-47.53932584269663,-0.91
4,160,170,77,51.48051948051948,-45.72043010752688,-2.88
4,170,172,80,47.725,-44.30434782608695,-2.58
