initial_stop_percent,stop_increment,traders,traders vencedores,ganho Médio,perda médio,retorno
11,20,15,9,254.22222222222223,-252.6,10.25
11,30,15,9,254.22222222222223,-243.0,10.73
11,40,15,9,254.22222222222223,-234.2,11.17
11,50,15,9,254.22222222222223,-287.8,8.49
11,60,16,10,231.3,-286.0,8.83
11,70,16,10,231.3,-255.8,10.34
11,80,16,10,231.3,-252.8,10.489999999999998
11,90,16,10,231.3,-252.8,10.489999999999998
11,100,18,11,246.0909090909091,-244.66666666666666,12.389999999999999
11,110,18,10,247.6,-225.28571428571428,8.99
11,120,18,10,247.6,-225.28571428571428,8.99
11,130,18,10,230.1,-224.42857142857142,7.3
11,140,18,10,230.1,-223.42857142857142,7.37
11,150,18,9,252.88888888888889,-200.125,6.75
11,160,18,8,245.75,-159.0,3.7600000000000002
11,170,18,9,228.88888888888889,-163.44444444444446,5.89
11,180,19,9,262.77777777777777,-154.5,8.200000000000001
11,190,19,8,292.875,-136.0,8.469999999999999
12,10,15,9,254.22222222222223,-268.2,9.47
12,20,15,9,254.22222222222223,-300.8,7.84
12,30,15,9,254.22222222222223,-300.8,7.84
12,40,15,9,254.22222222222223,-287.2,8.52
12,50,15,9,254.22222222222223,-278.4,8.959999999999999
12,60,15,9,254.22222222222223,-332.0,6.279999999999999
12,70,15,9,254.22222222222223,-332.0,6.279999999999999
12,80,16,10,231.3,-330.2,6.619999999999999
12,90,16,10,231.3,-282.4,9.01
12,100,16,10,231.3,-289.2,8.67
12,110,17,10,247.6,-278.8333333333333,8.03
12,120,18,11,246.0909090909091,-293.8333333333333,9.44
12,130,18,10,247.6,-256.85714285714283,6.78
12,140,18,10,230.1,-256.85714285714283,5.029999999999999
12,150,18,10,230.1,-256.0,5.09
12,160,18,10,230.1,-255.0,5.16
12,170,18,9,259.0,-192.22222222222223,6.01
12,180,18,8,243.875,-180.1,1.5
12,190,18,9,209.55555555555554,-199.88888888888889,0.8699999999999999
13,10,15,9,254.22222222222223,-281.4,8.81
13,20,15,9,254.22222222222223,-268.2,9.47
13,30,15,9,254.22222222222223,-304.6,7.6499999999999995
13,40,15,9,254.22222222222223,-293.4,8.21
13,50,15,9,254.22222222222223,-291.2,8.32
13,60,15,9,254.22222222222223,-282.4,8.76
13,70,15,9,254.22222222222223,-328.4,6.460000000000001
13,80,15,9,254.22222222222223,-332.0,6.279999999999999
13,90,16,10,231.3,-330.2,6.619999999999999
13,100,16,10,231.3,-316.8,7.290000000000001
13,110,16,10,231.3,-282.4,9.01
13,120,16,10,231.3,-282.4,9.01
13,130,17,10,247.6,-272.3333333333333,8.42
13,140,17,9,249.44444444444446,-241.0,5.58
13,150,18,10,230.1,-267.42857142857144,4.29
13,160,18,10,230.1,-266.57142857142856,4.35
13,170,18,10,230.1,-255.0,5.16
13,180,18,10,235.6,-208.375,6.890000000000001
13,190,18,9,257.3333333333333,-178.88888888888889,7.06
14,10,15,9,272.3333333333333,-251.6,11.93
14,20,15,9,254.22222222222223,-285.4,8.61
14,30,15,9,254.22222222222223,-321.8,6.79
14,40,15,9,254.22222222222223,-304.6,7.6499999999999995
14,50,15,9,254.22222222222223,-293.4,8.21
14,60,15,9,254.22222222222223,-295.0,8.129999999999999
14,70,15,9,254.22222222222223,-321.2,6.819999999999999
14,80,15,9,254.22222222222223,-331.2,6.32
14,90,15,9,254.22222222222223,-336.0,6.08
14,100,15,9,254.22222222222223,-328.0,6.4799999999999995
14,110,16,10,231.3,-316.8,7.290000000000001
14,120,16,10,231.3,-312.6,7.5
14,130,16,10,231.3,-282.4,9.01
14,140,17,10,247.6,-266.6666666666667,8.76
14,150,17,9,249.44444444444446,-235.42857142857142,5.970000000000001
14,160,17,9,249.44444444444446,-253.71428571428572,4.6899999999999995
14,170,17,9,249.44444444444446,-259.85714285714283,4.26
14,180,18,10,230.1,-266.57142857142856,4.35
14,190,18,10,235.6,-217.625,6.15
15,10,15,9,272.3333333333333,-307.4,9.139999999999999
15,20,15,9,272.3333333333333,-292.0,9.91
15,30,15,9,272.3333333333333,-251.6,11.93
15,40,15,9,272.3333333333333,-288.0,10.11
15,50,15,9,272.3333333333333,-317.6,8.63
15,60,15,9,254.22222222222223,-294.4,8.16
15,70,15,9,254.22222222222223,-295.0,8.129999999999999
15,80,15,9,254.22222222222223,-321.2,6.819999999999999
15,90,15,9,254.22222222222223,-335.0,6.13
15,100,15,9,254.22222222222223,-339.8,5.89
15,110,15,9,254.22222222222223,-328.0,6.4799999999999995
15,120,16,10,231.3,-320.8,7.090000000000001
15,130,16,10,231.3,-320.8,7.090000000000001
15,140,16,10,231.3,-282.4,9.01
15,150,16,9,245.88888888888889,-263.0,6.35
15,160,17,10,247.6,-250.83333333333334,9.71
15,170,17,9,249.44444444444446,-237.14285714285714,5.8500000000000005
15,180,17,9,249.44444444444446,-254.28571428571428,4.65
15,190,17,9,249.44444444444446,-252.85714285714286,4.75
16,10,15,9,272.3333333333333,-322.8,8.37
16,20,15,9,272.3333333333333,-307.4,9.139999999999999
16,30,15,9,272.3333333333333,-292.0,9.91
16,40,15,9,272.3333333333333,-292.0,9.91
16,50,15,9,272.3333333333333,-288.0,10.11
16,60,15,9,272.3333333333333,-288.0,10.11
16,70,15,9,272.3333333333333,-308.0,9.11
16,80,15,9,254.22222222222223,-286.6,8.55
16,90,15,9,254.22222222222223,-336.6,6.05
16,100,15,9,254.22222222222223,-335.0,6.13
16,110,15,9,254.22222222222223,-339.8,5.89
16,120,15,9,254.22222222222223,-339.8,5.89
16,130,15,9,254.22222222222223,-332.8,6.239999999999999
16,140,16,10,231.3,-320.8,7.090000000000001
16,150,16,10,231.3,-316.6,7.3
16,160,16,9,245.88888888888889,-267.0,6.11
16,170,16,9,245.88888888888889,-247.16666666666666,7.3
16,180,17,9,249.44444444444446,-230.57142857142858,6.3100000000000005
16,190,17,9,249.44444444444446,-237.14285714285714,5.8500000000000005
17,10,15,9,272.3333333333333,-328.8,8.07
17,20,15,9,272.3333333333333,-328.8,8.07
17,30,15,9,272.3333333333333,-312.6,8.88
17,40,15,9,272.3333333333333,-313.4,8.84
17,50,15,9,272.3333333333333,-298.0,9.610000000000001
17,60,15,9,272.3333333333333,-334.4,7.79
17,70,15,9,272.3333333333333,-294.0,9.81
17,80,15,9,272.3333333333333,-284.4,10.290000000000001
17,90,15,9,272.3333333333333,-310.0,9.01
17,100,15,9,254.22222222222223,-385.6,3.5999999999999996
17,110,15,9,254.22222222222223,-342.0,5.779999999999999
17,120,15,9,254.22222222222223,-345.8,5.59
17,130,15,9,254.22222222222223,-345.8,5.59
17,140,15,9,254.22222222222223,-337.8,5.99
17,150,16,10,231.3,-330.6,6.6000000000000005
17,160,16,10,231.3,-330.6,6.6000000000000005
17,170,16,9,245.88888888888889,-291.3333333333333,4.65
17,180,16,9,245.88888888888889,-271.3333333333333,5.8500000000000005
17,190,17,9,249.44444444444446,-237.71428571428572,5.81
18,10,15,9,272.3333333333333,-345.8,7.22
18,20,15,9,272.3333333333333,-328.8,8.07
18,30,15,9,272.3333333333333,-328.8,8.07
18,40,15,9,272.3333333333333,-328.8,8.07
18,50,15,9,272.3333333333333,-313.4,8.84
18,60,15,9,272.3333333333333,-298.0,9.610000000000001
18,70,15,9,272.3333333333333,-334.4,7.79
18,80,15,9,272.3333333333333,-323.2,8.35
18,90,15,9,272.3333333333333,-284.4,10.290000000000001
18,100,15,9,272.3333333333333,-310.0,9.01
18,110,15,9,254.22222222222223,-385.6,3.5999999999999996
18,120,15,9,254.22222222222223,-384.0,3.6799999999999997
18,130,15,9,254.22222222222223,-343.2,5.72
18,140,15,9,254.22222222222223,-346.8,5.54
18,150,15,9,254.22222222222223,-337.8,5.99
18,160,15,9,254.22222222222223,-324.4,6.660000000000001
18,170,16,10,231.3,-330.6,6.6000000000000005
18,180,16,9,245.88888888888889,-282.3333333333333,5.19
18,190,16,9,245.88888888888889,-300.3333333333333,4.109999999999999
19,10,14,8,273.5,-288.2,7.470000000000001
19,20,15,9,272.3333333333333,-345.8,7.22
19,30,15,9,272.3333333333333,-345.8,7.22
19,40,15,9,272.3333333333333,-328.8,8.07
19,50,15,9,272.3333333333333,-328.8,8.07
19,60,15,9,272.3333333333333,-312.6,8.88
19,70,15,9,272.3333333333333,-313.4,8.84
19,80,15,9,272.3333333333333,-334.4,7.79
19,90,15,9,272.3333333333333,-323.2,8.35
19,100,15,9,272.3333333333333,-324.8,8.27
19,110,15,9,272.3333333333333,-310.0,9.01
19,120,15,9,272.3333333333333,-326.0,8.21
19,130,15,9,254.22222222222223,-384.0,3.6799999999999997
19,140,15,9,254.22222222222223,-385.2,3.62
19,150,15,9,254.22222222222223,-388.8,3.44
19,160,15,9,254.22222222222223,-338.8,5.94
19,170,15,9,254.22222222222223,-325.4,6.61
19,180,16,10,231.3,-330.6,6.6000000000000005
19,190,16,9,245.88888888888889,-285.8333333333333,4.9799999999999995
