datetime,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 12:00:00,138700.0,138835.0,138500.0,138500.0,6,5,8
2024-01-02 12:30:00,138350.0,138350.0,138310.0,138310.0,14,5,14
2024-01-02 14:30:00,138600.0,138600.0,138600.0,138600.0,3,5,3
2024-01-02 15:00:00,138310.0,138310.0,138310.0,138310.0,1,5,2
2024-01-02 16:00:00,137800.0,137870.0,137740.0,137870.0,3,5,5
2024-01-03 10:00:00,138005.0,138160.0,138005.0,138160.0,2,5,2
2024-01-03 10:30:00,138130.0,138130.0,138090.0,138090.0,2,5,2
2024-01-03 11:00:00,137675.0,137700.0,137675.0,137690.0,7,5,14
2024-01-03 11:30:00,138235.0,138390.0,138235.0,138390.0,4,5,7
2024-01-03 12:00:00,138255.0,138335.0,138255.0,138335.0,3,5,8
2024-01-03 12:30:00,138390.0,138390.0,138390.0,138390.0,1,5,1
2024-01-03 15:00:00,138800.0,138930.0,138800.0,138930.0,7,5,9
2024-01-03 15:30:00,138900.0,138900.0,138900.0,138900.0,3,5,15
2024-01-03 16:00:00,138900.0,138900.0,138900.0,138900.0,2,5,3
2024-01-03 17:30:00,138400.0,138400.0,138400.0,138400.0,3,5,5
2024-01-04 10:30:00,137550.0,137550.0,137395.0,137395.0,12,5,17
2024-01-04 11:30:00,136700.0,136990.0,136700.0,136990.0,2,5,2
2024-01-04 13:00:00,137320.0,137320.0,137320.0,137320.0,1,5,2
2024-01-04 13:30:00,137000.0,137000.0,137000.0,137000.0,1,5,2
2024-01-04 15:00:00,136450.0,136550.0,136450.0,136525.0,4,5,4
2024-01-04 16:00:00,136500.0,136500.0,136500.0,136500.0,1,5,4
2024-01-05 09:00:00,136800.0,136800.0,136800.0,136800.0,1,5,1
2024-01-05 09:30:00,136040.0,136040.0,136040.0,136040.0,1,5,1
2024-01-05 10:30:00,136255.0,136795.0,135940.0,136795.0,6,5,9
2024-01-05 11:00:00,136695.0,136695.0,136695.0,136695.0,1,5,1
2024-01-05 11:30:00,136845.0,136845.0,136825.0,136825.0,3,5,3
2024-01-05 12:00:00,137425.0,137750.0,137340.0,137750.0,4,5,7
2024-01-05 12:30:00,137795.0,137810.0,137795.0,137800.0,3,5,3
2024-01-05 13:30:00,137480.0,137480.0,137330.0,137330.0,2,5,2
2024-01-05 15:00:00,136805.0,136805.0,136805.0,136805.0,1,5,1
